date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	D	9	n	2.1823184900280346	1.4409661499697117	0.22388819026973447
20210409	ABZD	2	d	3	fbz30	DMSO	N2	E	1	n	-10.373890841639769	-0.9003478691662956	-1.0581298014444267
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	E	10	n	9.353099550263842	-0.4225286815875187	0.9560208671310135
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	E	2	n	-12.988244308134226	-0.709220194134785	-1.3240597700212107
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	E	3	n	5.278008266657739	-0.5180925191032741	0.5391758196571755
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	E	4	n	-20.42860189429582	0.3419820185385245	-2.095437744651324
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	E	5	n	4.551017874754126	-0.08805525028237479	0.4640847746164249
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	E	6	n	2.98783324770835	0.580891612327913	0.30478746172180365
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2804	E	7	n	4.847949927007941	-0.1358371690402525	0.49443722033959536
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2805	E	8	n	5.161938259077981	-0.040273331524497094	0.5263621112320334
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2816	E	9	n	-6.817681509971965	1.0109288811488124	-0.699438868376839
20210409	ABZD	2	d	3	fbz30	DMSO	N2	F	1	n	3.626109158360231	-0.23140100655600793	0.36986066484819935
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2817	F	10	n	9.353099550263842	-0.4225286815875187	0.9560208671310135
20210409	ABZD	2	d	3	fbz30	DMSO	ECA882	F	2	n	10.011755691865774	0.3897639372964022	1.0206277788121318
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2795	F	3	n	13.27800826665774	-0.1358371690402525	1.356417161340188
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2798	F	4	n	-19.42860189429582	0.3897639372964022	-1.9928640220102058
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2799	F	5	n	-4.448982125245874	-0.5180925191032741	-0.4536797972868389
20210409	ABZD	2	d	3	fbz30	DMSO	ECA2801	F	6	n	14.98783324770835	1.1542746374224455	1.528901807282048
