term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,condition
strain,ECA2804,ECA2816,0,-42.409578200221596,-98.93571665849397,14.116560258050782,0.33,ns,Fenbendazole
strain,ECA2804,ECA2817,0,-73.49675996797802,-130.0228984262504,-16.970621509705644,0.00191,**,Fenbendazole
strain,ECA2804,ECA882,0,-36.501525872939,-93.02766433121138,20.02461258533338,0.553,ns,Fenbendazole
strain,ECA2804,N2,0,-195.67056447556394,-253.74565104988682,-137.59547790124105,8.99e-15,****,Fenbendazole
strain,ECA2805,ECA2816,0,-36.41370603840399,-92.93984449667636,20.11243241986839,0.556,ns,Fenbendazole
strain,ECA2805,ECA2817,0,-67.50088780616042,-124.0270262644328,-10.974749347888043,0.00672,**,Fenbendazole
strain,ECA2805,ECA882,0,-30.505653711121386,-87.03179216939377,26.02048474715099,0.778,ns,Fenbendazole
strain,ECA2805,N2,0,-189.67469231374633,-247.74977888806922,-131.59960573942345,2.96e-14,****,Fenbendazole
strain,ECA2816,ECA2817,0,-31.087181767756434,-87.6133202260288,25.438956690515944,0.759,ns,Fenbendazole
strain,ECA2816,ECA882,0,5.908052327282601,-50.61808613098978,62.434190785554975,1,ns,Fenbendazole
strain,ECA2816,N2,0,-153.26098627534233,-211.33607284966524,-95.18589970101944,3.88e-13,****,Fenbendazole
strain,ECA2817,ECA882,0,36.99523409503904,-19.53090436323334,93.52137255331141,0.533,ns,Fenbendazole
strain,ECA2817,N2,0,-122.1738045075859,-180.2488910819088,-64.098717933263,8.55e-9,****,Fenbendazole
strain,ECA882,N2,0,-159.16903860262494,-217.24412517694782,-101.09395202830204,7.89e-14,****,Fenbendazole
